code,level0,level1,level2,language
deu_Latn,Indo_European,Germanic,High_German,German
ltz_Latn,Indo_European,Germanic,High_German,Luxembourgish
eng_Latn,Indo_European,Germanic,North_Sea_Germanic,English
tpi_Latn,Indo_European,Germanic,North_Sea_Germanic,Tok_Pisin
nld_Latn,Indo_European,Germanic,Weser_Rhine_Germanic,Dutch
lim_Latn,Indo_European,Germanic,Weser_Rhine_Germanic,Limburgish
ita_Latn,Indo_European,Romance,Italo_Romance,Italian
scn_Latn,Indo_European,Romance,Italo_Romance,Sicilian
spa_Latn,Indo_European,Romance,Iberian_Romance,Spanish
ast_Latn,Indo_European,Romance,Iberian_Romance,Asturian
fra_Latn,Indo_European,Romance,Gallo_Romance,French
hat_Latn,Indo_European,Romance,Gallo_Romance,Haitian_Creole
