code,level0,level1,level2,language
deu_Latn,Indo_European,level1_0,level2_0,German
ast_Latn,Indo_European,level1_0,level2_0,Asturian
ita_Latn,Indo_European,level1_0,level2_1,Italian
tpi_Latn,Indo_European,level1_0,level2_1,Tok_Pisin
fra_Latn,Indo_European,level1_0,level2_2,French
lim_Latn,Indo_European,level1_0,level2_2,Limburgish
eng_Latn,Indo_European,level1_1,level2_3,English
scn_Latn,Indo_European,level1_1,level2_3,Sicilian
spa_Latn,Indo_European,level1_1,level2_4,Spanish
ltz_Latn,Indo_European,level1_1,level2_4,Luxembourgish
nld_Latn,Indo_European,level1_1,level2_5,Dutch
hat_Latn,Indo_European,level1_1,level2_5,Haitian_Creole
